排名,名称,链接,星级,评分,评价人数,封面图片,导演,年份
87,摩登时代,https://movie.douban.com/subject/1294371/,4.5,9.3,291582,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2263408369.jpg,"
                            导演: 查理·卓别林 Charles Chaplin   主演: 查理·卓别林 Charles Chaplin ...","
                            1936 / 美国 / 剧情 喜剧 爱情
                        "
88,春光乍泄,https://movie.douban.com/subject/1292679/,4.5,9.0,612065,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p465939041.jpg,"
                            导演: 王家卫 Kar Wai Wong   主演: 张国荣 Leslie Cheung / 梁朝伟 Tony Leu...","
                            1997 / 中国香港 日本 韩国 / 剧情 爱情 同性
                        "
89,哈利·波特与阿兹卡班的囚徒,https://movie.douban.com/subject/1291544/,4.5,8.9,699846,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1910812549.jpg,"
                            导演: Alfonso Cuarón   主演: 丹尼尔·雷德克里夫 Daniel Radcliffe / Emma...","
                            2004 / 英国 美国 / 奇幻 冒险
                        "
90,超脱,https://movie.douban.com/subject/5322596/,4.5,9.0,570703,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1305562621.jpg,"
                            导演: 托尼·凯耶 Tony Kaye   主演: 艾德里安·布洛迪 Adrien Brody / 马西...","
                            2011 / 美国 / 剧情
                        "
91,喜剧之王,https://movie.douban.com/subject/1302425/,4.5,8.8,942228,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2579932167.jpg,"
                            导演: 周星驰 Stephen Chow / 李力持 Lik-Chi Lee   主演: 周星驰 Stephen Ch...","
                            1999 / 中国香港 / 喜剧 剧情 爱情
                        "
92,致命ID,https://movie.douban.com/subject/1297192/,4.5,8.9,798343,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2558364386.jpg,"
                            导演: 詹姆斯·曼高德 James Mangold   主演: 约翰·库萨克 John Cusack / 雷...","
                            2003 / 美国 / 剧情 悬疑 惊悚
                        "
93,七宗罪,https://movie.douban.com/subject/1292223/,4.5,8.8,921574,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2219586434.jpg,"
                            导演: 大卫·芬奇 David Fincher   主演: 摩根·弗里曼 Morgan Freeman / 布...","
                            1995 / 美国 / 剧情 犯罪 悬疑 惊悚
                        "
94,杀人回忆,https://movie.douban.com/subject/1300299/,4.5,8.9,689191,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1633113220.jpg,"
                            导演: 奉俊昊 Joon-ho Bong   主演: 宋康昊 Kang-ho Song / 金相庆 Sang-kyun...","
                            2003 / 韩国 / 剧情 动作 犯罪 悬疑 惊悚
                        "
95,红辣椒,https://movie.douban.com/subject/1865703/,4.5,9.1,445942,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p456825720.jpg,"
                            导演: 今敏 Satoshi Kon   主演: 林原惠美 Megumi Hayashibara / 江守彻 Toru...","
                            2006 / 日本 / 动画 悬疑 科幻 惊悚
                        "
96,加勒比海盗,https://movie.douban.com/subject/1298070/,4.5,8.8,835000,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1596085504.jpg,"
                            导演: 戈尔·维宾斯基 Gore Verbinski   主演: 约翰尼·德普 Johnny Depp / ...","
                            2003 / 美国 / 动作 冒险 奇幻
                        "
97,狩猎,https://movie.douban.com/subject/6985810/,4.5,9.1,377649,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1546987967.jpg,"
                            导演: 托马斯·温特伯格 Thomas Vinterberg   主演: 麦斯·米科尔森 Mads Mik...","
                            2012 / 丹麦 瑞典 / 剧情
                        "
98,哈利·波特与密室,https://movie.douban.com/subject/1296996/,4.5,8.8,727143,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1082651990.jpg,"
                            导演: Chris Columbus   主演: 丹尼尔·雷德克里夫 Daniel Radcliffe / 艾玛...","
                            2002 / 英国 美国 / 奇幻 冒险
                        "
99,被嫌弃的松子的一生,https://movie.douban.com/subject/1787291/,4.5,8.9,687930,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p884763596.jpg,"
                            导演: 中岛哲也 Tetsuya Nakashima   主演: 中谷美纪 Miki Nakatani / 瑛太 E...","
                            2006 / 日本 / 剧情 歌舞
                        "
100,7号房的礼物,https://movie.douban.com/subject/10777687/,4.5,8.9,542572,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1816276065.jpg,"
                            导演: 李焕庆 Hwan-kyeong Lee   主演: 柳承龙 Seung-yong Ryoo / 朴信惠 Shi...","
                            2013 / 韩国 / 剧情 喜剧 家庭
                        "
101,一一,https://movie.douban.com/subject/1292434/,4.5,9.1,376616,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2567845803.jpg,"
                            导演: 杨德昌 Edward Yang   主演: 吴念真 / 李凯莉 Kelly Lee / 金燕玲 Elai...","
                            2000 / 中国台湾 日本 / 剧情 爱情 家庭
                        "
102,请以你的名字呼唤我,https://movie.douban.com/subject/26799731/,4.5,8.9,700384,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2505525050.jpg,"
                            导演: 卢卡·瓜达尼诺 Luca Guadagnino   主演: 艾米·汉莫 Armie Hammer / ...","
                            2017 / 意大利 法国 巴西 美国 / 剧情 爱情 同性
                        "
103,唐伯虎点秋香,https://movie.douban.com/subject/1306249/,4.5,8.7,1047530,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2357915564.jpg,"
                            导演: 李力持 Lik-Chi Lee   主演: 周星驰 Stephen Chow / 巩俐 Li Gong / 陈...","
                            1993 / 中国香港 / 喜剧 爱情 古装
                        "
104,断背山,https://movie.douban.com/subject/1418834/,4.5,8.8,691956,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2604889017.jpg,"
                            导演: 李安 Ang Lee   主演: 希斯·莱杰 Heath Ledger / 杰克·吉伦哈尔 Jake...","
                            2005 / 美国 加拿大 / 剧情 爱情 同性 家庭
                        "
105,剪刀手爱德华,https://movie.douban.com/subject/1292370/,4.5,8.7,1014614,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p480956937.jpg,"
                            导演: 蒂姆·波顿 Tim Burton   主演: 约翰尼·德普 Johnny Depp / 薇诺娜·...","
                            1990 / 美国 / 剧情 奇幻 爱情
                        "
106,勇敢的心,https://movie.douban.com/subject/1294639/,4.5,8.9,549068,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2004174709.jpg,"
                            导演: 梅尔·吉布森 Mel Gibson   主演: 梅尔·吉布森 Mel Gibson / 苏菲·玛...","
                            1995 / 美国 / 动作 传记 剧情 历史 战争
                        "
107,入殓师,https://movie.douban.com/subject/2149806/,4.5,8.9,647152,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2707581855.jpg,"
                            导演: 泷田洋二郎 Yôjirô Takita   主演: 本木雅弘 Masahiro Motoki / ...","
                            2008 / 日本 / 剧情
                        "
108,爱在黎明破晓前,https://movie.douban.com/subject/1296339/,4.5,8.8,657883,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2555762374.jpg,"
                            导演: 理查德·林克莱特 Richard Linklater   主演: 伊桑·霍克 Ethan Hawke ...","
                            1995 / 美国 奥地利 瑞士 / 剧情 爱情
                        "
109,第六感,https://movie.douban.com/subject/1297630/,4.5,8.9,540756,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2220184425.jpg,"
                            导演: M·奈特·沙马兰 M. Night Shyamalan   主演: 布鲁斯·威利斯 Bruce Wi...","
                            1999 / 美国 / 剧情 悬疑 惊悚
                        "
110,重庆森林,https://movie.douban.com/subject/1291999/,4.5,8.8,786763,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p792381411.jpg,"
                            导演: 王家卫 Kar Wai Wong   主演: 林青霞 Brigitte Lin / 金城武 Takeshi K...","
                            1994 / 中国香港 / 剧情 爱情
                        "
111,蝙蝠侠：黑暗骑士崛起,https://movie.douban.com/subject/3395373/,4.5,8.8,700148,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1706428744.jpg,"
                            导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 克里斯蒂安·贝尔 Christ...","
                            2012 / 美国 英国 / 剧情 动作 科幻 犯罪 惊悚
                        "
112,幽灵公主,https://movie.douban.com/subject/1297359/,4.5,8.9,509157,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1613191025.jpg,"
                            导演: 宫崎骏 Hayao Miyazaki   主演: 松田洋治 Yôji Matsuda / 石田百合...","
                            1997 / 日本 / 动画 奇幻 冒险
                        "
113,超能陆战队,https://movie.douban.com/subject/11026735/,4.5,8.7,984566,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2614500883.jpg,"
                            导演: 唐·霍尔 Don Hall / 克里斯·威廉姆斯 Chris Williams   主演: 斯科特...","
                            2014 / 美国 / 喜剧 动作 科幻 动画 冒险
                        "
114,菊次郎的夏天,https://movie.douban.com/subject/1293359/,4.5,8.9,578166,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2620392435.jpg,"
                            导演: 北野武 Takeshi Kitano   主演: 北野武 Takeshi Kitano / 关口雄介 Yus...","
                            1999 / 日本 / 剧情 喜剧
                        "
115,爱在日落黄昏时,https://movie.douban.com/subject/1291990/,4.5,8.9,540369,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2561542458.jpg,"
                            导演: 理查德·林克莱特 Richard Linklater   主演: 伊桑·霍克 Ethan Hawke ...","
                            2004 / 美国 法国 / 剧情 爱情
                        "
116,天使爱美丽,https://movie.douban.com/subject/1292215/,4.5,8.7,941048,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2447590313.jpg,"
                            导演: 让-皮埃尔·热内 Jean-Pierre Jeunet   主演: 奥黛丽·塔图 Audrey Tau...","
                            2001 / 法国 德国 / 剧情 喜剧 爱情
                        "
